route,stops,types
54 Cut,"KOYMABEDU MARKET,KOYAMBEDU P.S,M.M.D.A.COLONY RD.JN.,VADAPALANI B.S,VIRUGAMBAKKAM,ALWAR THIRUNAGAR,ANGALAMMAN KOIL,RAMAPURAM,MOGALIVAKKAM RD. JN.,MOGALIVAKKAM / MARI AMMN,MADANANADAPURAM,MOULIVAKKAM",EXP
18K,"BROADWAY,CENTRAL,P.OR & SONS,T.V.S,D.M.S,S.H.B,SRINIVASA THEATER,SAIDAPET WEST",ORD
18H,"TAMBARAM,KANNADAPALAYAM,PAZHANTHANDALAM ROAD JN.,ETTAYAPURAM,SOMANGALAM RD JN/N.V.R.D.,NADUVEERAPATTU",ORD
571 Dlx,"BROADWAY,CENTRAL,DASAPRAKASH,TAYLORS ROAD,KILPAUK GARDEN,ICF ANNEXE,NATHAMUNI TALKIES,LUCAS TVS,AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI,KAVARAIPALAYAM,PATTABIRAM,NEMILICHERI,THIRUNINDRAVOOR,VEPPUMPATTU PULIYAMARAM,PERUMALPATTU,KANDAN KOLLAI,CHEVVAIPETTAI R.S.,THOZHUDUR,RAMAPURAM,KAKKALUR,THIRUVALLUR",ORD
570 Dlx,"C.M.B.T.,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,GUINDY R.S,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VIJAYA NAGAR,I.R.T. RD.JN.,SRP TOOLS,KANDANCHAVADI,THORAPPAKKAM TEA SHOP,MOOTAKARAN CHAVADI,KARAPAKKAM,SOZHINGANALLUR P.U.OFFICE,KUMARAN NAGAR,CHEMMAN CHERI,NAVALUR,CHURCH,PALAVASTHIC CHEMICALS,HINDUSTAL EGG. COLLEGE,KELAMBAKKAM",ORD
18L,"TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO,OORAPAKKAM SCHOOL,PALAKKA COMPANY,GUDUVANCHERY,JN.OF MAMBAKKAM RD & ATAN,MADAMBAKKAM",ORD
18S,"TAMBARAM,KANNADAPALAYAM,PAZHANTHANDALAM,ETTAYAPURAM,SOMANGALAM RD JN/N.V.R.D.,POONTHANDALAM,SOMANGALAM",ORD
18P,"HIGH COURT,CENTRAL,P.OR & SONS,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VELACHERY HOSPITAL",ORD
18T,"ALANDUR MUNICIPALITY,ST THOMAS MOUNT R.S,ST THOMAS MOUNT PO,GUINDY R.S,CONCORDE,SAIDAPET,S.H.B,D.M.S,T.V.S,P.OR & SONS,CENTRAL,HIGH COURT",ORD
29C Ext,"PERAMBUR R.S,JAMALAYA,SHIVASHANMUGAPURAM,LADY MCTM SCHOOL/MILLERS,K.M.C,STERLING Rd/METEOROLOGY D,U.S.I.S.,Y.M.I.A,DEVANATHAN ST / MANDAVELI,A.M.S.HOSPITAL,ADAYAR O.T.,ADAYAR DEPOT,THIRUVANMIYUR",ORD
M46B,"PERIYAR NAGAR,AGARAM,VEENUS,JAMALAYA,SAYANI/AYNAVARAM,KAMABAR ARANGAM,ANNA NAGAR EAST,NADUVANKARAI,ARUMBAKKAM,C.M.B.T.",ORD
21G Ext,"BROADWAY,SECRETARIAT,CHEPAUK,Q.M.C,Y.M.I.A,DEVANATHAN ST / MANDAVELI,ADYAR GATE,KOTTURPURAM,ENG.COLLEGE,CONCORDE,GUINDY R.S,CIPET,EKKATTUTHANGAL",ORD
152L Dlx,"HIGH COURT,SECRETARIAT,CHEPAUK,Q.M.C,V.M.STREET,DEVANATHAN ST / MANDAVELI,A.M.S.HOSPITAL,ADAYAR B.S.,ENG.COLLEGE,CONCORDE,GUINDY R.S,ST THOMAS MOUNT PO,ALANDUR,THILLAIGANGA NAG SUB.3rdM,CHIDAMBARAM STORES,NANGANALLUR",ORD
46G Dlx,"M.K.B.NAGAR EAST,VYASARPADI,P1.POLICE STATION,DASAMAHAN,SAYANI/AYNAVARAM,KAMABAR ARANGAM,ANNA NAGAR,NADUVANKARAI,ARUMBAKKAM,C.M.B.T.",ORD
57,"V. NAGAR,VYASARPADI,SARMA NAGAR,MOOLAKADAI,MADHAVARAM,CYCLE SHOP,KAVANGARAI,AAYURVEDA ASHRAMAM,RED HILLS",ORD
C70,"RED HILLS,AAYURVEDA ASHRAMAM,KAVANGARAI,KATHIRVEDU,VINAYAGAPURAM,MALLIGAI NAGAR AVE,WATER PIPE THANTHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,GUINDY TVK ESTATE","EXP,ORD"
G21 Ext,"BROADWAY,SECRETARIAT,CHEPAUK,Q.M.C,Y.M.I.A,MANDAVELI,ADYAR GATE,KOTTURPURAM,ENG.COLLEGE,CONCORDE,GUINDY R.S,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,CHROMEPET LAKSHMIPURAM",EXP
H21,"BROADWAY,SECRETARIAT,CHEPAUK,Q.M.C,FORE SHORE ESTATE,A.M.S.HOSPITAL,ADAYAR O.T.,ADAYAR DEPOT,SRP TOOLS,KANDANCHAVADI,THORAPPAKKAM TEA SHOP,MOOTAKARAN CHAVADI,KARAPAKKAM,SOZHINGANALLUR P.U.OFFICE,KUMARAN NAGAR,NUCLEUS COMPANY,CHEMMANCHERY S.C.B.",ORD
T242 Dlx,"THIRUVANMIYUR,ADAYAR DEPOT,ADAYAR O.T.,A.M.S.HOSPITAL,FORE SHORE ESTATE,Q.M.C,CHEPAUK,SECRETARIAT,PARRYS,CENTRAL,DOVETON,P1.POLICE STATION,JAMALAYA,VEENUS,S.R.P. COLONY,KOLATHUR,VINAYAGAPURAM,KATHIRVEDU,KAVANGARAI,AAYURVEDA ASHRAMAM,RED HILLS,PADIYANALLUR",ORD
51T Cut,"TAMBARAM EAST,CONVENT,CAMP ROAD,BALAJI NAGAR (BHARATH ENG,MEPPADU HOSPITAL,AGARAM THEN,KOVILAMCHERRY VILLAGE,MADURAPAKKAM",ORD
15B AC,"BROADWAY,CENTRAL,DASAPRAKASH,TAYLORS ROAD,AMINIJIKARAI,NADUVANKARAI,ARUMBAKKAM,C.M.B.T.",AC
28,"THIRUVETRIYUR B.S,THIRUVOTRIYUR TEMPLE,THANGAL,THIRUNINDRAVOOR,THEAGARAYA COLLEGE,V. NAGAR,REGAL,CENTRAL,PERIYAR BRIDGE,EGMORE,EGMORE NORTH R.S.",ORD
05E Dlx,"BESANT NAGAR,ADAYAR DEPOT,ADAYAR B.S.,ENG.COLLEGE,CONCORDE,SAIDAPET,SRINIVASA THEATER,JAFFARKHAN PET,KALAIGNAR NAGAR,MUTHUMARIAMMAN KOIL,Jn.OF P.T.R Rd/KAMARAJ Rd,VADAPALANI B.S",ORD
88C,"HIGH COURT,CENTRAL,PERIYAR BRIDGE,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY R.S,BUTT ROAD,RAMAPURAM,MOGALIVAKKAM,PORUR,MOULIVAKKAM,PERIYAPANICHERI,THANDALAM RD JN.,KUNDRATHUR B.S",ORD
01B Dlx,"THIRUVETRIYUR B.S,THIRUVOTRIYUR TEMPLE,THANGAL,ANNA NAGAR,ROYAPURAM P.S,CLIVE BATTERY,PARRYS,CENTRAL,P.OR & SONS,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY R.S,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM",ORD
88A,"HIGH COURT,CENTRAL,PERIYAR BRIDGE,T.V.S,GEMINI P.H,VETERINARY HOSPITAL,TRUSTPURAM,VADAPALANI B.S,VIRUGAMBAKKAM,VALASARAVAKKAM,PORUR,MOULIVAKKAM,PERIYAPANICHERI,THANDALAM RD JN.,KUNDRATHUR B.S,SIRUKALATHUR,ALAGESA NAGAR,PERIYAR NAGAR,NANDAMBAKKAM VILLAGE",ORD
01,"THIRUVETRIYUR B.S,THRUVOTRIYUR TEMPLE,THANGAL,ANNA NAGAR,ROYAPURAM P.S,CLIVE BATTERY,PARRYS,T.N.C.F,P.OR & SONS,WESLEY H.S,Y.M.I.A,MANDAVELI,A.M.S.HOSPITAL,ADAYAR O.T.,ADAYAR B.S.,THIRUVANMIYUR",NGT
88D,"SAIDAPET WEST,SRINIVASA THEATER,SAIDAPET,CONCORDE,GUINDY R.S,BUTT ROAD,RAMAPURAM,MOGALIVAKKAM,PORUR,MOULIVAKKAM,PERIYAPANICHERI,THANDALAM RD JN.,KUNDRATHUR B.S,KUNDRATHUR MURUGAN TEMPLE,ANANDA NAGAR,VAZHUTHALAMBEDU RD. JN",ORD
88K,"HIGH COURT,CENTRAL,PERIYAR BRIDGE,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY R.S,BUTT ROAD,RAMAPURAM,MOGALIVAKKAM,PORUR,MOULIVAKKAM,PERIYAPANICHERI,THANDALAM RD JN.,KUNDRATHUR B.S",ORD
M15C,"BROADWAY,CENTRAL,EGMORE,MATERNITY HOSPITAL,D.P.I,STERLING ROAD,NUNGAMBAKKAM R.S,HOTEL ARUN,ANNA NAGAR CIRCLE,THIRUMANGALAM,ANNA NAGAR WEST",ORD
88M,"BROADWAY,CENTRAL,P.OR & SONS,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY R.S,BUTT ROAD,RAMAPURAM,MOGALIVAKKAM,PORUR,MOULIVAKKAM,PERIYAPANICHERI,THANDALAM RD JN.,KUNDRATHUR B.S,SIRUKALATHUR,ALAGESA NAGAR,SOMANGALAM RD JN/N.V.R.D.,POONTHANDALAM,SOMANGALAM",ORD
07H Ext,"BROADWAY,CENTRAL,DOVETON,KELLEYS,KILPAUK GARDEN,ANNA NAGAR CIRCLE,THIRUMANGALAM,FIRE STATION,MOGAPAIR EAST,MOGAPAIR WEST,AMBATHUR ESTATE",ORD
32B,"KORUKKUPET R.S,V. NAGAR,UNIVERCITY CLUB,CENTRAL,P.OR & SONS,V.HOUSE",ORD
170P Dlx,"PATTABIRAM,KAVARAIPALAYAM,AVADI,POLYTECHNIC,THIRUMULLAIVOAYL,AMB OT,DUNLOP,AMBATHUR ESTATE,MOGAIPAIR ROAD JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM",ORD
32A,"TOLLGATE,TONDAIAYRPET,THEAGARAYA COLLEGE,V. NAGAR,UNIVERCITY CLUB,CENTRAL,P.OR & SONS,V.HOUSE,DR.AMBEDHAR BRIDGE,SANTHOME P.O,FORE SHORE ESTATE",ORD
170T Dlx,"KAVIARASU KANNADASAN NAGA,SIDCO,SARMA NAGAR,MOOLAKADAI,MADHAVARAM,BUS BAY-17TH KM,MALLIGAI NAGAR AVE,WATER PIPE THANTHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO",ORD
170C Dlx,"T.V.K.NAGAR,S.R.P. COLONY,KOLATHUR/NEHRU RD JN,MALLIGAI NAGAR AVE,WATER PIPE THANTHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,GUINDY TVK ESTATE",ORD
170A Dlx,"MADAHVARAM VILLAGE,MADHAVARAM POST BOX,MOOLAKADAI,MADHAVARAM,BUS BAY-17TH KM,MALLIGAI NAGAR AVE,WATER PIPE THANTHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO",ORD
A18 Dlx,"HIGH COURT,CENTRAL,PERIYAR BRIDGE,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY R.S,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO",ORD
M141C,"MOGAPAIR OFF.COL,THIRUMANGALAM,ANNA NAGAR CIRCLE,HOTEL ARUN,NUNGAMBAKKAM R.S,STERLING ROAD,D.M.S,F.C.I OLD,LUZ,MANDAVELI,A.M.S.HOSPITAL,ADAYAR O.T.,ADAYAR DEPOT,THIRUVANMIYUR",ORD
170L Dlx,"KALLIKUPPAM,PUDUR,AMB OT,DUNLOP,AMBATHUR ESTATE,MOGAIPAIR ROAD JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO",ORD
50,"BROADWAY,CENTRAL,DASAPRAKASH,TAYLORS ROAD,AMINIJIKARAI,NADUVANKARAI,ARUMBAKKAM,NERKUNDRAM,MADURAVOYAL,VAANAGARAM,VELAPPANCHAVADI,THIRUVERKADU",ORD
12B,"VADAPALANI B.S,TRUSTPURAM,BHARATHI NAGAR(PERIYAR PA,PONDY BAZAAR,F.C.I OLD,LUZ,SANTHOME P.O,FORE SHORE ESTATE","NGT,ORD"
12C,"SALIGRAMAN,VADAPALANI B.S,PICTURE POST,FIVE LAMPS,T.NAGAR,SOUTH BOAG & S.EAST BOAG,DEFENCE QUARTERS,ADYAR GATE,CEMENTRY (MANDAVELI),MYLAPORE",ORD
12G,"ANNA SQUARE,V.HOUSE TERMINUS,V.M.STREET,LUZ,F.C.I OLD,PONDY BAZAAR,ANJUGAM SCHOOL,GOVT. GIRLS H.SC,Jn.OF P.T.R Rd/KAMARAJ Rd,MUTHUMARIAMMAN KOIL,KALAIGNAR NAGAR",ORD
562A Dlx,"RED HILLS,AAYURVEDA ASHRAMAM,KAVANGARAI,SCREW FACTORY,SURAPEDU,AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI CIRCLE,AVADI MOSQUE,GOVARDANAGIRI,MELPAKKAM,SENNEERKUPPAM,KARAYANCAHVADI,POONAMALLEE,NAZARATHPET,CHEMBARAMBAKKAM,PAPPANCHATRAM,CHETTIPEDU,THANDALAM KOOT ROAD,SIPCOT,IRUNKATTUKOTTAI,PENNALUR E.B.,BEEMANTHANGAL,SRIPERUMPUDUR",ORD
562B Dlx,"PONNERI,KRISHNAPURAM,MADHAVARAM,ANDAKUPPAM,THATCHUR KOOT ROAD,PANJETTI,PERIYAPALAYAM RD JN.,KARANODAI,SHOLAVARAM,SEMILIVARAM,PADIYANALLUR,RED HILLS,AAYURVEDA ASHRAMAM,KAVANGARAI,SCREW FACTORY,SURAPEDU,KALLIKUPPAM,PUDUR,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI,AVADI MOSQUE,GOVARDANAGIRI,MELPAKKAM,SENNEERKUPPAM,KARAYANCAHVADI,POONAMALLEE",ORD
M164,"MATHUR M.M.D.A.,MADHAVARAM MILLK COLONY,MADHAVARAM POST BOX,MOOLAKADAI,PERAMBUR B.S",ORD
M56T,"THIRUVETRIYUR B.S,ERNAVOOR GATE,SATHIYAMOORTHY NAGAR,JN.,OF PONNERI RD,&ERANOO;,MANALI RD JN.,MANALAI SEEKADU,M.M.C,MADHAVARAM POST BOX,MADAHVARAM VILLAGE",ORD
554A Dlx,"PUZHITHIVAKKAM B.S,BRINDAVAN COLONY,KAKKAN BRIDGE,SECRETARIAT COLONY,PADAVATTAMMAN SCHOOL,GUINDY RACE COURCE OFFICE,GUINDY R.S,BUTT ROAD,RAMAPURAM,MOGALIVAKKAM,PORUR,AYYAPPAN THANGAL,KUMUNANCHAVADI,POONAMALLEE,NAZARATHPET,CHEMBARAMBAKKAM,PAPPANCHATRAM,CHETTIPEDU,THANDALAM KOOT ROAD,SIPCOT,IRUNKATTUKOTTAI,PENNALUR E.B.,BEEMANTHANGAL,SRIPERUMPUDUR",ORD
554B Dlx,"EKKATTUTHANGAL,CIPET,BUTT ROAD,RAMAPURAM,MOGALIVAKKAM,PORUR,AYYAPPAN THANGAL,KUMUNANCHAVADI,POONAMALLEE,NAZARATHPET,CHEMBARAMBAKKAM,PAPPANCHATRAM,CHETTIPEDU,THANDALAM KOOT ROAD,SIPCOT,IRUNKATTUKOTTAI,PENNALUR E.B.,BEEMANTHANGAL,SRIPERUMPUDUR,TRAVELLERS BANGALOW,VADAMANGALAM KOOT ROAD,MAMBAKKAM,THIRUMANGALAM,SUNGUVARCHATHIRAM",ORD
M56W,"MADAHVARAM VILLAGE,MADHAVARAM POST BOX,MADHAVARAM MILLK COLONY,MANALAI SEEKADU,MANALI RD JN.,JN.,OF PONNERI RD,&ERANOO;,SATHIYAMOORTHY NAGAR,ERNAVOOR GATE,THIRUVETRIYUR B.S,THIRUVOTRIYUR TEMPLE,THANGAL,TONDAIAYRPET,THEAGARAYA COLLEGE,V. NAGAR",ORD
M56P,"BROADWAY,PARRYS,CLIVE BATTERY,V. NAGAR,THEAGARAYA COLLEGE,TONDAIAYRPET,THANGAL,THIRUVOTRIYUR TEMPLE,THIRUVETRIYUR B.S",ORD
578P Dlx,"KUNDRATHUR B.S,KOLLAICHERI,SIKKARAYAPURAM,MANGADU,KUMUNANCHAVADI,POONAMALLEE,NAZARATHPET,CHEMBARAMBAKKAM,PAPPANCHATRAM,CHETTIPEDU,THANDALAM,SIPCOT,IRUNKATTUKOTTAI,PENNALUR E.B.,BEEMANTHANGAL,SRIPERUMPUDUR,TRAVELLERS BANGALOW,VADAMANGALAM KOOT ROAD,MAMBAKKAM,THIRUMANGALAM,SUNGUVARCHATHIRAM,SOKANDI,VADAMANGALAM KOOT ROAD,MADHURAMANGALAM KOOT RD,PUDUPATTU KOOT RD,PUDUPATTU VILLAGE",ORD
M55T,"T.NAGAR,SAIDAPET,CONCORDE,GUINDY R.S,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,PAMMAL,PAMMAL KAMARAJAPURAM,THIRUNEERMALAI",ORD
M55,"TAMBARAM,TAMBARAM TOWN LIMIT,PERUNGALATHUR (OLD),MUDICHUR VILLAGE,MANIVAKKAM,VANDALOOR R.G/MANIVAKKAM",ORD
M54,"T.NAGAR,SAIDAPET,CONCORDE,GUINDY TVK ESTATE,BUTT ROAD,RAMAPURAM,MOGALIVAKKAM,PORUR,AYYAPPAN THANGAL,KUMUNANCHAVADI,POONAMALLEE",ORD
M57,"BROADWAY,PARRYS,CLIVE BATTERY,V. NAGAR,VYASARPADI,SARMA NAGAR,MOOLAKADAI,MADHAVARAM,CYCLE SHOP,POZHAL,KAVANGARAI,AAYURVEDA ASHRAMAM,RED HILLS",ORD
M56,"BROADWAY,PARRYS,CLIVE BATTERY,V. NAGAR,THEAGARAYA COLLEGE,TONDAIAYRPET,THANGAL,THIRUVOTRIYUR TEMPLE,THIRUVETRIYUR B.S,ERNAVOOR GATE,SATHIYAMOORTHY NAGAR,KARGIL NAGAR",ORD
M51,"T.NAGAR,SAIDAPET,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VIJAYA NAGAR,MADIPAKKAM RD. JN.,NARAYANAPURAM,MEDAVAKKAM COLONY,PALLAVAN NAGAR,PERUMBAKKAM LIMIT,SOZHINGANALLUR P.U.OFFICE,PRITHIYANGARA DEVI TEMPLE",ORD
M52,"CHROMPET,PALLAVARAM,PAMMAL,POZHICHALUR",ORD
47A AC,"I.C.F,KILPAUK GARDEN,TAYLORS ROAD,STERLING ROAD,VIDYODAYA,PONDY BAZAAR,T.NAGAR,SAIDAPET,CONCORDE,ENG.COLLEGE,ADAYAR B.S.,ADAYAR DEPOT,THIRUVANMIYUR",AC
M59,"V. NAGAR,REGAL,CHOOLAI P.O,LADY MCTM SCHOOL/MILLERS,TAYLORS ROAD,AMINIJIKARAI,NADUVANKARAI,ARUMBAKKAM,NERKUNDRAM,MADURAVOYAL,VAANAGARAM,VELAPPANCHAVADI,THIRUVERKADU",ORD
557M,"RED HILLS,PADIYANALLUR,SEMILIVARAM,SHOLAVARAM,KARANODAI,PERIYAPALAYAM RD JN.,PANJETTI,THATCHUR KOOT ROAD,NEW ROAD,PUDUVOYAL,PERUVOYAL,KAVARAPED,GUMMUDIPOONDI R.S.,GOVT.HARJNHOSTL,S.R.KANDIGAI,KAYALARMEDU,NAGARAJKANDIGAI,MELPAKKAM RD. JN.,PETAI/PALAYAPAL,EQUVARPALAYAM,SORPONDERIKARAI,SANAPUTHUR,ALLIKULAM,MANALLUR,PATHIRIVEDU,MADHARAPAKKAM",EXP
138C,"T.V.K.NAGAR,VEENUS,PERAMBUR R.S,GANESH PURAM,P1.POLICE STATION,CHOOLAI P.O,CENTRAL,P.OR & SONS,V.HOUSE",ORD
11,"BROADWAY,CENTRAL,P.OR & SONS,T.V.S,SUN THEATER,TELEGRAPH OFFICE,T.NAGAR",ORD
M51R,"HIGH COURT,CENTRAL,P.OR & SONS,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY RACE COURCE OFFICE,SECRETARIAT COLONY,KAKKAN BRIDGE,BRINDAVAN COLONY,PUZHITHIVAKKAM B.S,PONNIAMMAN KOIL RD. JN.,MADIPAKKAM B.S",ORD
M51P,"HIGH COURT,CENTRAL,P.OR & SONS,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY RACE COURCE OFFICE,SECRETARIAT COLONY,ADAMBAKKAM P.S,BRINDAVAN COLONY,PUZHITHIVAKKAM B.S",ORD
M51V,"T.NAGAR,SAIDAPET,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VELACHERY VIJAYA NAGAR,MADIPAKKAM RD. JN.,NARAYANAPURAM,MEDAVAKKAM COLONY,VEERABADRA NAGAR,JN.OF MAMBAKKAM & O.BAKKA,NOOTHANCHERI CROSS RD.,MADURAPAKKAM RD.JN.,PONMAR,MAMBAKKAM TEMPLE,MAMBAKKAM ROCE MILL,KOLATHUR",ORD
M50 Ext,"BROADWAY,CENTRAL,DASAPRAKASH,TAYLORS ROAD,AMINIJIKARAI,NADUVANKARAI,ARUMBAKKAM,NERKUNDRAM,MADURAVOYAL,VAANAGARAM,VELAPPANCHAVADI,THIRUVERKADU,AYYAPPAN MADAM",ORD
13,"T.NAGAR,TELEGRAPH OFFICE,SUN THEATER,CORPN. PLAY GROUND,WESLEY H.S,TRIPLICANE O.T (CORPN. SC",ORD
A70,"AVADI,POLYTECHNIC,THIRUMULLAIVOAYL,AMB OT,DUNLOP,AMBATHUR ESTATE,LUCAS TVS,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM",ORD
120,"BROADWAY,CENTRAL,DHARMAPRAKASH/PETROL BUNK,KELLEYS,SAYANI/AYNAVARAM,KAMABAR ARANGAM,NATHAMUNI TALKIES,LUCAS TVS,AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI","NGT,EXP"
M51C,"T.NAGAR,SAIDAPET,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VIJAYA NAGAR,MADIPAKKAM RD. JN.,NARAYANAPURAM,MEDAVAKKAM COLONY,PALLAVAN NAGAR,PERUMBAKKAM LIMIT,PERUMBAKKAM COLONY(INDRAN,NOOKAMPALAYAM VILLAGE,ARASANKAZHANI,OTTIAMBAKKAM",ORD
29C AC,"PERAMBUR R.S,JAMALAYA,SHIVASHANMUGAPURAM,LADY MCTM SCHOOL/MILLERS,K.M.C,STERLING Rd/METEOROLOGY D,U.S.I.S.,Y.M.I.A,MANDAVELI,A.M.S.HOSPITAL,ADAYAR O.T.,ADAYAR DEPOT,THIRUVANMIYUR",AC
M51D,"SAIDAPET,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VELACHERY VIJAYA NAGAR,MADIPAKKAM RD. JN.,NARAYANAPURAM,MEDAVAKKAM COLONY,VEERABADRA NAGAR,JN.OF MAMBAKKAM & O.BAKKA,CHITLAPAKKAM,ARASANKAZHANI,OTTIAMBAKKAM,KARANAI,SIRUCHERI,SONALUR / PUDUR,PUDUPAKKAM,VANDALOOR RD.JN,SATHANKUPPAM,KELAMBAKKAM",ORD
M51G,"TAMBARAM,CONVENT,MAHALAKSHMI NAGAR,SRINIVASA NAGAR,MADAMBAKKAM KOIL,NOOTHANCHERI CROSS RD.,VENGAIVASAL P.H.CENTRE",ORD
536 Dlx,"PONNERI,KRISHNAPURAM,MADHAVARAM,ANDAKUPPAM,THATCHUR KOOT ROAD,PANJETTI,PERIYAPALAYAM RD JN.,KARANODAI,SHOLAVARAM,SEMILIVARAM,PADIYANALLUR,RED HILLS,AAYURVEDA ASHRAMAM,KAVANGARAI,SCREW FACTORY,SURAPEDU,KALLIKUPPAM,PUDUR,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI,KAVARAIPALAYAM,PATTABIRAM",ORD
538 Dlx,"VADAPALANI B.S,VIRUGAMBAKKAM,VALASARAVAKKAM,PORUR,AYYAPPAN THANGAL,KUMUNANCHAVADI,POONAMALLEE,VARADARAJA PURAM,THIRUMALISAI,VELLAVEDU,NEMAM,PUTHUCHATHIRAM,METTUKANDIGAI,MURUKKANCHERI,ARANVOYAL KUPPAM,ARANVOYAL,VENKATHUR,MANAVALAN NAGAR,OIL MILL,THIRUVALLUR,SATHIYAVEDU KOOT ROAD,THIRUPATCHUR,PRIYAN KUPPAM,CHRISTIAN HOSPITAL,KADAMBATHUR",ORD
60A,"HIGH COURT,CENTRAL,P.OR & SONS,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY R.S,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,PAMMAL,ANAKAPUTHUR,ANDAKUPPAM,KUNDRATHUR B.S,KUNDRATHUR MURUGAN TEMPLE",ORD
